system,events,mean_oracle_squared_error,rmse_to_oracle,mean_oracle_absolute_error,mean_brier,mean_log_loss,mean_forecast,scheduled_calls_per_event,mean_inference_attempts_per_event,mean_prompt_tokens_per_event,mean_output_tokens_per_event,mean_total_tokens_per_event
prior,30,0.09189774876414646,0.3031464147308136,0.26992893139009333,0.23666666666666666,0.6649679744578371,0.5,0.0,0.0,0.0,0.0,0.0
central,30,0.06791124760531975,0.26059786569601784,0.1991877795096773,0.19988843333333334,0.631130517947942,0.6872333333333334,5.0,5.0,1810.6,283.0,2093.6
ensemble_mean,30,0.06857773582327457,0.2618735111141915,0.23650044995203154,0.21166137610666666,0.6111013663200424,0.620988,5.0,5.0,1271.5,214.63333333333333,1486.1333333333334
ensemble_log_pool,30,0.1818844948519401,0.4264791845470774,0.31250804925363895,0.3021373035254371,1.031176654094994,0.9009770731600595,5.0,5.0,1271.5,214.63333333333333,1486.1333333333334
market,30,0.04594966633912597,0.21435873282683393,0.1670604092756611,0.20525,0.6053499663373304,0.6843333333333333,5.0,5.0,2152.7,214.7,2367.4
oracle_bayes,30,0.0,0.0,0.0,0.17167223596470366,0.5348816627422187,0.5999181436957484,0.0,0.0,0.0,0.0,0.0
