comparison,events,mean_paired_difference,bootstrap_ci_2_5,bootstrap_ci_97_5,market_strict_win_rate,tie_rate,interpretation
market_minus_ensemble_log_pool,30,-0.13593482851281413,-0.20883302456560143,-0.07059326305409919,0.6666666666666666,0.0,negative_favors_market
market_minus_central,30,-0.021961581266193776,-0.05551618202324583,0.0037902208974488205,0.5666666666666667,0.16666666666666666,negative_favors_market
market_minus_ensemble_mean,30,-0.022628069484148597,-0.03807749426814223,-0.006417744022650824,0.7333333333333333,0.0,negative_favors_market
market_minus_prior,30,-0.04594808242502049,-0.08825684839953145,-0.006115336511491846,0.7,0.0,negative_favors_market
