system,cells,evaluation_weight,weighted_mean_oracle_squared_error,weighted_rmse_to_oracle,weighted_mean_oracle_absolute_error,weighted_expected_brier,weighted_expected_log_loss,unweighted_mean_oracle_squared_error,weighted_mean_forecast,scheduled_calls_per_cell,weighted_mean_inference_attempts_per_cell,weighted_mean_prompt_tokens_per_cell,weighted_mean_output_tokens_per_cell,weighted_mean_total_tokens_per_cell
prior,160,1.0,0.09189310247169273,0.3031387511877898,0.2672715,0.23,0.652179823737649,0.07992835905658495,0.5,0.0,0.0,0.0,0.0,0.0
central_full,160,1.0,0.04222547176835522,0.20548837380337415,0.17740281862499999,0.1803323692966625,0.5404409223141134,0.038684506605610076,0.565009953625,5.0,5.0,1672.6467475,98.14748725,1770.79423475
central_compact,160,1.0,0.043243805238820224,0.20795144923471975,0.185258468475,0.1813507027671275,0.5457630681218593,0.03914991640168914,0.533448269225,5.0,5.0,1821.966502,104.672632,1926.639134
market,160,1.0,0.028161171984467725,0.16781290768134532,0.15172339399999998,0.166268069512775,0.5111834141774079,0.026162484134170456,0.516885094,5.0,5.0,1856.9247755,95.300275,1952.2250505
oracle_bayes,160,1.0,0.0,0.0,0.0,0.13810689752830727,0.4305670505959871,0.0,0.5,0.0,0.0,0.0,0.0,0.0
